Age,WorkClass,Education,Education_Years,MaritalStatus,Occupation,Relationship,Race,Gender,CapGains,CapLoss,HoursWorked,Country,IncomeLabel,Suburban
45.0, Self-emp-not-inc, Assoc-voc,11.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,20.0, United-States, <=50K,1
22.0,, Bachelors,13.0, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander, Female,0.0,0.0,40.0, United-States, <=50K,1
24.0, State-gov, Bachelors,13.0, Never-married, Prof-specialty, Not-in-family, White, Male,0.0,0.0,15.0, United-States, <=50K,0
19.0, Private, 11th,7.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,0.0,0.0,40.0, United-States, <=50K,1
23.0, Private, Some-college,10.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,32.0, Cuba, <=50K,0
50.0, Private, 5th-6th,3.0, Married-spouse-absent, Other-service, Unmarried, White, Female,0.0,0.0,34.0, Mexico, <=50K,1
51.0, Local-gov, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,45.0, United-States, <=50K,1
33.0, Private, Doctorate,16.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,60.0, United-States, >50K,0
38.0,, Assoc-acdm,12.0, Divorced, Exec-managerial, Unmarried, White, Male,0.0,0.0,45.0, United-States, <=50K,1
22.0, State-gov, 12th,8.0, Never-married, Exec-managerial, Not-in-family, White, Male,0.0,0.0,50.0, United-States, >50K,1
22.0, Private, Bachelors,13.0, Never-married, Prof-specialty, Unmarried, White, Male,0.0,0.0,20.0, United-States, <=50K,0
42.0, Private, Assoc-acdm,12.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.0,0.0,40.0, United-States, >50K,1
20.0, Private, Some-college,10.0, Never-married, Sales, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K,0
47.0, Private, HS-grad,9.0, Married-civ-spouse, Adm-clerical, Wife, White, Female,0.0,0.0,20.0, United-States, >50K,1
55.0, Self-emp-not-inc, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Male,0.0,0.0,35.0, United-States, <=50K,0
47.0, Local-gov, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Wife, White, Female,0.0,0.0,45.0, United-States, <=50K,0
69.0, ?, HS-grad,9.0, Married-civ-spouse, ?, Husband, White, Male,0.0,0.0,24.0, United-States, <=50K,0
18.0, ?, HS-grad,9.0, Never-married, ?, Own-child, White, Female,0.0,1602.0,20.0, United-States, <=50K,1
35.0, Private, Assoc-acdm,12.0, Never-married, Other-service, Not-in-family, White, Female,0.0,0.0,80.0, United-States, >50K,1
28.0, Private, HS-grad,9.0, Divorced, Other-service, Own-child, Black, Male,0.0,0.0,35.0, United-States, <=50K,0
36.0, Private, HS-grad,9.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,0.0,0.0,45.0, Ecuador, >50K,0
21.0, Private, HS-grad,9.0, Never-married, Handlers-cleaners, Own-child, White, Male,0.0,0.0,40.0, United-States, <=50K,1
31.0, Local-gov, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, Black, Male,0.0,0.0,40.0, United-States, <=50K,1
27.0, Self-emp-inc, HS-grad,9.0, Never-married, Sales, Not-in-family, White, Male,0.0,0.0,50.0, United-States, <=50K,0
27.0, Private, HS-grad,9.0, Never-married, Craft-repair, Not-in-family, Black, Male,3325.0,0.0,40.0, United-States, <=50K,1
43.0, Private, HS-grad,9.0, Married-civ-spouse, Transport-moving, Husband, White, Male,0.0,0.0,30.0, Dominican-Republic, <=50K,0
34.0, Local-gov, HS-grad,9.0, Married-civ-spouse, Other-service, Husband, White, Male,0.0,0.0,50.0, United-States, <=50K,0
